id,tipo,titulo,introducao,data_publicacao,Unnamed: 5,produtos,editorias
32137,Notícia,"Número de municípios com queimadas aumenta 42,9% em quatro anos","Número de municípios que informaram ocorrência de queimadas aumentou mais de 40% - Foto: Vinícius Mendonça-Ibama Cerca de 66% dos municípios brasileiros relataram a ocorrência de ao menos um impacto ambiental entre os anos de 2018 e 2020. Desses, metade...",10/11/2021 10:00:00,,10586|Edições #Munic1|pesquisa-de-informacoes-basicas-municipais|2110;16770|Edições #Estadic1|pesquisa-de-informacoes-basicas-estaduais|2421,sociais
28967,Notícia,Nova edição da Revista Brasileira de Geografia analisa poluição de rios urbanos,"O IBGE lança hoje (28) o primeiro número do volume 65 da Revista Brasileira de Geografia (RBG), de periodicidade semestral. Publicada em formato digital, a nova edição traz três artigos e uma resenha, discorrendo sobre temas como a intensa modificação e...",28/09/2020 10:00:00,,27499|Revista Brasileira de Geografia|revista-brasileira-de-geografia|2985,geociencias
